dateObserved,temperature,relativeHumidity
2024-12-31T23:07Z,-2.2346838,74.73548
2024-12-31T23:17Z,-2.3788815,74.817505
2024-12-31T23:27Z,-2.6619363,74.26818
2024-12-31T23:37Z,-2.7019913,74.3254
2024-12-31T23:47Z,-2.6112,73.69787
2024-12-31T23:57Z,-2.5898376,73.97826
2025-01-01T00:07Z,-2.4029145,73.8333
2025-01-01T00:17Z,-2.3441672,73.671165
2025-01-01T00:27Z,-2.4483101,74.06218
2025-01-01T00:37Z,-2.3628595,73.985886
2025-01-01T00:47Z,-2.4696727,74.21286
2025-01-01T00:57Z,-2.4483101,73.85428
2025-01-01T01:07Z,-2.5017166,73.62348
2025-01-01T01:17Z,-2.5951781,73.37743
2025-01-01T01:27Z,-2.7660792,73.964905
2025-01-01T01:37Z,-2.3868926,73.325935
2025-01-01T01:47Z,-2.5898376,73.88861
2025-01-01T01:57Z,-2.3441672,73.69024
2025-01-01T02:07Z,-2.4483101,73.87526
2025-01-01T02:17Z,-2.8809032,74.57145
2025-01-01T02:27Z,-2.7954528,74.029755
2025-01-01T02:37Z,-2.9396505,73.66926
2025-01-01T02:47Z,-3.2387273,73.61967
2025-01-01T02:57Z,-3.4603646,73.59106
2025-01-01T03:07Z,-3.3108263,73.06271
2025-01-01T03:17Z,-3.2307165,73.46517
2025-01-01T03:27Z,-3.0865188,73.88289
2025-01-01T03:37Z,-3.1666286,73.81613
2025-01-01T03:47Z,-3.147936,73.66926
2025-01-01T03:57Z,-3.3455405,74.28535
2025-01-01T04:07Z,-3.6552987,73.81995
2025-01-01T04:17Z,-3.553826,73.671165
2025-01-01T04:27Z,-3.4203098,73.27444
2025-01-01T04:37Z,-3.3428702,73.17334
2025-01-01T04:47Z,-3.1933317,72.96925
2025-01-01T04:57Z,-3.1986725,72.68124
2025-01-01T05:07Z,-3.3802547,72.68124
2025-01-01T05:17Z,-3.2574196,72.59159
2025-01-01T05:27Z,-3.366903,72.889145
2025-01-01T05:37Z,-3.276112,72.46761
2025-01-01T05:47Z,-3.2013428,72.39132
2025-01-01T05:57Z,-3.2013428,72.49622
2025-01-01T06:07Z,-3.479057,72.73083
2025-01-01T06:17Z,-3.5458152,72.36652
2025-01-01T06:27Z,-3.4924088,72.7232
2025-01-01T06:37Z,-3.3535516,72.61829
